1 => 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15 | 5:2 | 6:37 | 7:263 | 8:680 | 9:1001 | 10:686 | 11:258 | 12:43 | 13:4 | 14:0 | 15:0
2 => 1-2-3-4-5-6-7-8-9-10-11-12-13-14-16 | 5:1 | 6:35 | 7:274 | 8:715 | 9:936 | 10:723 | 11:253 | 12:36 | 13:1 | 14:0 | 15:0
3 => 1-2-3-4-5-6-7-8-9-10-11-12-13-14-17 | 5:0 | 6:42 | 7:249 | 8:722 | 9:942 | 10:726 | 11:245 | 12:42 | 13:6 | 14:0 | 15:0
4 => 1-2-3-4-5-6-7-8-9-10-11-12-13-14-18 | 5:1 | 6:38 | 7:236 | 8:731 | 9:956 | 10:708 | 11:257 | 12:45 | 13:2 | 14:0 | 15:0
5 => 1-2-3-4-5-6-7-8-9-10-11-12-13-14-19 | 5:2 | 6:42 | 7:248 | 8:676 | 9:1011 | 10:693 | 11:262 | 12:37 | 13:3 | 14:0 | 15:0
6 => 1-2-3-4-5-6-7-8-9-10-11-12-13-14-20 | 5:2 | 6:47 | 7:238 | 8:665 | 9:968 | 10:733 | 11:272 | 12:48 | 13:1 | 14:0 | 15:0
7 => 1-2-3-4-5-6-7-8-9-10-11-12-13-14-21 | 5:2 | 6:44 | 7:236 | 8:709 | 9:978 | 10:700 | 11:267 | 12:35 | 13:3 | 14:0 | 15:0
8 => 1-2-3-4-5-6-7-8-9-10-11-12-13-14-22 | 5:2 | 6:47 | 7:229 | 8:723 | 9:973 | 10:676 | 11:281 | 12:40 | 13:3 | 14:0 | 15:0
9 => 1-2-3-4-5-6-7-8-9-10-11-12-13-14-23 | 5:1 | 6:39 | 7:272 | 8:702 | 9:959 | 10:682 | 11:270 | 12:47 | 13:2 | 14:0 | 15:0
10 => 1-2-3-4-5-6-7-8-9-10-11-12-13-14-24 | 5:4 | 6:29 | 7:238 | 8:729 | 9:962 | 10:694 | 11:269 | 12:46 | 13:3 | 14:0 | 15:0
11 => 1-2-3-4-5-6-7-8-9-10-11-12-13-14-25 | 5:1 | 6:40 | 7:232 | 8:720 | 9:940 | 10:731 | 11:263 | 12:45 | 13:2 | 14:0 | 15:0
12 => 1-2-3-4-5-6-7-8-9-10-11-12-13-15-16 | 5:2 | 6:36 | 7:268 | 8:721 | 9:988 | 10:669 | 11:249 | 12:37 | 13:4 | 14:0 | 15:0
13 => 1-2-3-4-5-6-7-8-9-10-11-12-13-15-17 | 5:3 | 6:36 | 7:255 | 8:745 | 9:940 | 10:695 | 11:251 | 12:46 | 13:3 | 14:0 | 15:0
14 => 1-2-3-4-5-6-7-8-9-10-11-12-13-15-18 | 5:3 | 6:26 | 7:277 | 8:700 | 9:980 | 10:688 | 11:251 | 12:46 | 13:3 | 14:0 | 15:0
15 => 1-2-3-4-5-6-7-8-9-10-11-12-13-15-19 | 5:4 | 6:35 | 7:259 | 8:707 | 9:993 | 10:666 | 11:268 | 12:38 | 13:4 | 14:0 | 15:0
16 => 1-2-3-4-5-6-7-8-9-10-11-12-13-15-20 | 5:3 | 6:37 | 7:235 | 8:718 | 9:965 | 10:695 | 11:261 | 12:59 | 13:1 | 14:0 | 15:0
17 => 1-2-3-4-5-6-7-8-9-10-11-12-13-15-21 | 5:2 | 6:35 | 7:254 | 8:745 | 9:941 | 10:688 | 11:272 | 12:32 | 13:5 | 14:0 | 15:0
18 => 1-2-3-4-5-6-7-8-9-10-11-12-13-15-22 | 5:4 | 6:43 | 7:232 | 8:752 | 9:967 | 10:651 | 11:275 | 12:48 | 13:2 | 14:0 | 15:0
19 => 1-2-3-4-5-6-7-8-9-10-11-12-13-15-23 | 5:3 | 6:37 | 7:260 | 8:755 | 9:939 | 10:656 | 11:276 | 12:47 | 13:0 | 14:1 | 15:0
20 => 1-2-3-4-5-6-7-8-9-10-11-12-13-15-24 | 5:5 | 6:29 | 7:248 | 8:721 | 9:1003 | 10:645 | 11:268 | 12:52 | 13:2 | 14:1 | 15:0
21 => 1-2-3-4-5-6-7-8-9-10-11-12-13-15-25 | 5:2 | 6:33 | 7:251 | 8:716 | 9:966 | 10:695 | 11:261 | 12:48 | 13:2 | 14:0 | 15:0
22 => 1-2-3-4-5-6-7-8-9-10-11-12-13-16-17 | 5:0 | 6:41 | 7:276 | 8:714 | 9:972 | 10:678 | 11:250 | 12:42 | 13:1 | 14:0 | 15:0
23 => 1-2-3-4-5-6-7-8-9-10-11-12-13-16-18 | 5:0 | 6:44 | 7:253 | 8:744 | 9:947 | 10:690 | 11:255 | 12:39 | 13:2 | 14:0 | 15:0
24 => 1-2-3-4-5-6-7-8-9-10-11-12-13-16-19 | 5:2 | 6:47 | 7:242 | 8:754 | 9:947 | 10:688 | 11:252 | 12:40 | 13:2 | 14:0 | 15:0
25 => 1-2-3-4-5-6-7-8-9-10-11-12-13-16-20 | 5:1 | 6:37 | 7:264 | 8:696 | 9:961 | 10:700 | 11:273 | 12:41 | 13:1 | 14:0 | 15:0
26 => 1-2-3-4-5-6-7-8-9-10-11-12-13-16-21 | 5:0 | 6:35 | 7:284 | 8:714 | 9:950 | 10:709 | 11:241 | 12:39 | 13:2 | 14:0 | 15:0
27 => 1-2-3-4-5-6-7-8-9-10-11-12-13-16-22 | 5:4 | 6:40 | 7:249 | 8:755 | 9:940 | 10:687 | 11:256 | 12:43 | 13:0 | 14:0 | 15:0
28 => 1-2-3-4-5-6-7-8-9-10-11-12-13-16-23 | 5:2 | 6:35 | 7:290 | 8:732 | 9:943 | 10:666 | 11:258 | 12:46 | 13:2 | 14:0 | 15:0
29 => 1-2-3-4-5-6-7-8-9-10-11-12-13-16-24 | 5:2 | 6:41 | 7:248 | 8:740 | 9:941 | 10:710 | 11:249 | 12:40 | 13:3 | 14:0 | 15:0
30 => 1-2-3-4-5-6-7-8-9-10-11-12-13-16-25 | 5:1 | 6:35 | 7:268 | 8:719 | 9:940 | 10:712 | 11:254 | 12:45 | 13:0 | 14:0 | 15:0
31 => 1-2-3-4-5-6-7-8-9-10-11-12-13-17-18 | 5:1 | 6:41 | 7:256 | 8:733 | 9:951 | 10:675 | 11:265 | 12:47 | 13:5 | 14:0 | 15:0
32 => 1-2-3-4-5-6-7-8-9-10-11-12-13-17-19 | 5:2 | 6:42 | 7:258 | 8:708 | 9:982 | 10:675 | 11:260 | 12:41 | 13:6 | 14:0 | 15:0
33 => 1-2-3-4-5-6-7-8-9-10-11-12-13-17-20 | 5:1 | 6:47 | 7:249 | 8:668 | 9:994 | 10:686 | 11:279 | 12:48 | 13:2 | 14:0 | 15:0
34 => 1-2-3-4-5-6-7-8-9-10-11-12-13-17-21 | 5:1 | 6:42 | 7:266 | 8:703 | 9:967 | 10:696 | 11:255 | 12:37 | 13:7 | 14:0 | 15:0
35 => 1-2-3-4-5-6-7-8-9-10-11-12-13-17-22 | 5:5 | 6:39 | 7:259 | 8:704 | 9:981 | 10:676 | 11:261 | 12:45 | 13:4 | 14:0 | 15:0
36 => 1-2-3-4-5-6-7-8-9-10-11-12-13-17-23 | 5:0 | 6:43 | 7:279 | 8:730 | 9:929 | 10:668 | 11:277 | 12:43 | 13:5 | 14:0 | 15:0
37 => 1-2-3-4-5-6-7-8-9-10-11-12-13-17-24 | 5:3 | 6:35 | 7:271 | 8:696 | 9:948 | 10:715 | 11:257 | 12:46 | 13:3 | 14:0 | 15:0
38 => 1-2-3-4-5-6-7-8-9-10-11-12-13-17-25 | 5:0 | 6:44 | 7:247 | 8:721 | 9:953 | 10:682 | 11:277 | 12:47 | 13:3 | 14:0 | 15:0
39 => 1-2-3-4-5-6-7-8-9-10-11-12-13-18-19 | 5:0 | 6:48 | 7:238 | 8:722 | 9:971 | 10:692 | 11:254 | 12:46 | 13:3 | 14:0 | 15:0
40 => 1-2-3-4-5-6-7-8-9-10-11-12-13-18-20 | 5:2 | 6:28 | 7:272 | 8:676 | 9:970 | 10:695 | 11:269 | 12:60 | 13:2 | 14:0 | 15:0
41 => 1-2-3-4-5-6-7-8-9-10-11-12-13-18-21 | 5:1 | 6:36 | 7:261 | 8:716 | 9:958 | 10:697 | 11:262 | 12:39 | 13:4 | 14:0 | 15:0
42 => 1-2-3-4-5-6-7-8-9-10-11-12-13-18-22 | 5:4 | 6:41 | 7:241 | 8:721 | 9:992 | 10:658 | 11:258 | 12:54 | 13:5 | 14:0 | 15:0
43 => 1-2-3-4-5-6-7-8-9-10-11-12-13-18-23 | 5:1 | 6:39 | 7:266 | 8:732 | 9:948 | 10:669 | 11:265 | 12:52 | 13:2 | 14:0 | 15:0
44 => 1-2-3-4-5-6-7-8-9-10-11-12-13-18-24 | 5:2 | 6:39 | 7:240 | 8:726 | 9:963 | 10:683 | 11:268 | 12:52 | 13:1 | 14:0 | 15:0
45 => 1-2-3-4-5-6-7-8-9-10-11-12-13-18-25 | 5:1 | 6:38 | 7:241 | 8:735 | 9:932 | 10:711 | 11:259 | 12:56 | 13:1 | 14:0 | 15:0
