201 => 1-2-3-4-5-6-7-8-9-10-11-12-16-23-25 | 5:3 | 6:44 | 7:274 | 8:726 | 9:967 | 10:649 | 11:249 | 12:57 | 13:5 | 14:0 | 15:0
202 => 1-2-3-4-5-6-7-8-9-10-11-12-16-24-25 | 5:4 | 6:43 | 7:262 | 8:693 | 9:985 | 10:675 | 11:261 | 12:49 | 13:2 | 14:0 | 15:0
203 => 1-2-3-4-5-6-7-8-9-10-11-12-17-18-19 | 5:2 | 6:37 | 7:266 | 8:756 | 9:923 | 10:687 | 11:240 | 12:59 | 13:4 | 14:0 | 15:0
204 => 1-2-3-4-5-6-7-8-9-10-11-12-17-18-20 | 5:3 | 6:41 | 7:254 | 8:699 | 9:974 | 10:672 | 11:271 | 12:58 | 13:2 | 14:0 | 15:0
205 => 1-2-3-4-5-6-7-8-9-10-11-12-17-18-21 | 5:0 | 6:46 | 7:262 | 8:726 | 9:962 | 10:679 | 11:245 | 12:49 | 13:4 | 14:1 | 15:0
206 => 1-2-3-4-5-6-7-8-9-10-11-12-17-18-22 | 5:4 | 6:49 | 7:233 | 8:748 | 9:978 | 10:654 | 11:251 | 12:49 | 13:7 | 14:1 | 15:0
207 => 1-2-3-4-5-6-7-8-9-10-11-12-17-18-23 | 5:1 | 6:41 | 7:297 | 8:710 | 9:950 | 10:657 | 11:260 | 12:55 | 13:3 | 14:0 | 15:0
208 => 1-2-3-4-5-6-7-8-9-10-11-12-17-18-24 | 5:2 | 6:38 | 7:270 | 8:719 | 9:945 | 10:682 | 11:266 | 12:48 | 13:4 | 14:0 | 15:0
209 => 1-2-3-4-5-6-7-8-9-10-11-12-17-18-25 | 5:0 | 6:43 | 7:268 | 8:718 | 9:939 | 10:683 | 11:263 | 12:55 | 13:5 | 14:0 | 15:0
210 => 1-2-3-4-5-6-7-8-9-10-11-12-17-19-20 | 5:1 | 6:42 | 7:263 | 8:696 | 9:956 | 10:695 | 11:266 | 12:51 | 13:4 | 14:0 | 15:0
211 => 1-2-3-4-5-6-7-8-9-10-11-12-17-19-21 | 5:1 | 6:44 | 7:266 | 8:729 | 9:958 | 10:675 | 11:248 | 12:47 | 13:6 | 14:0 | 15:0
212 => 1-2-3-4-5-6-7-8-9-10-11-12-17-19-22 | 5:3 | 6:39 | 7:243 | 8:766 | 9:967 | 10:645 | 11:252 | 12:55 | 13:4 | 14:0 | 15:0
213 => 1-2-3-4-5-6-7-8-9-10-11-12-17-19-23 | 5:3 | 6:38 | 7:272 | 8:777 | 9:921 | 10:633 | 11:265 | 12:63 | 13:2 | 14:0 | 15:0
214 => 1-2-3-4-5-6-7-8-9-10-11-12-17-19-24 | 5:5 | 6:35 | 7:270 | 8:702 | 9:985 | 10:660 | 11:263 | 12:52 | 13:2 | 14:0 | 15:0
215 => 1-2-3-4-5-6-7-8-9-10-11-12-17-19-25 | 5:4 | 6:40 | 7:255 | 8:736 | 9:954 | 10:647 | 11:282 | 12:52 | 13:4 | 14:0 | 15:0
216 => 1-2-3-4-5-6-7-8-9-10-11-12-17-20-21 | 5:3 | 6:40 | 7:255 | 8:709 | 9:937 | 10:727 | 11:247 | 12:54 | 13:2 | 14:0 | 15:0
217 => 1-2-3-4-5-6-7-8-9-10-11-12-17-20-22 | 5:2 | 6:46 | 7:230 | 8:720 | 9:977 | 10:677 | 11:269 | 12:51 | 13:2 | 14:0 | 15:0
218 => 1-2-3-4-5-6-7-8-9-10-11-12-17-20-23 | 5:2 | 6:37 | 7:284 | 8:701 | 9:950 | 10:662 | 11:276 | 12:60 | 13:2 | 14:0 | 15:0
219 => 1-2-3-4-5-6-7-8-9-10-11-12-17-20-24 | 5:3 | 6:41 | 7:250 | 8:669 | 9:1004 | 10:691 | 11:255 | 12:57 | 13:4 | 14:0 | 15:0
220 => 1-2-3-4-5-6-7-8-9-10-11-12-17-20-25 | 5:0 | 6:56 | 7:222 | 8:723 | 9:926 | 10:718 | 11:271 | 12:55 | 13:3 | 14:0 | 15:0
221 => 1-2-3-4-5-6-7-8-9-10-11-12-17-21-22 | 5:2 | 6:38 | 7:257 | 8:752 | 9:959 | 10:658 | 11:256 | 12:46 | 13:5 | 14:1 | 15:0
222 => 1-2-3-4-5-6-7-8-9-10-11-12-17-21-23 | 5:1 | 6:35 | 7:296 | 8:728 | 9:945 | 10:657 | 11:258 | 12:51 | 13:3 | 14:0 | 15:0
223 => 1-2-3-4-5-6-7-8-9-10-11-12-17-21-24 | 5:2 | 6:42 | 7:264 | 8:711 | 9:959 | 10:699 | 11:241 | 12:53 | 13:3 | 14:0 | 15:0
224 => 1-2-3-4-5-6-7-8-9-10-11-12-17-21-25 | 5:1 | 6:38 | 7:268 | 8:719 | 9:957 | 10:668 | 11:271 | 12:48 | 13:4 | 14:0 | 15:0
225 => 1-2-3-4-5-6-7-8-9-10-11-12-17-22-23 | 5:1 | 6:43 | 7:275 | 8:755 | 9:909 | 10:686 | 11:248 | 12:53 | 13:4 | 14:0 | 15:0
226 => 1-2-3-4-5-6-7-8-9-10-11-12-17-22-24 | 5:3 | 6:36 | 7:280 | 8:693 | 9:972 | 10:674 | 11:263 | 12:50 | 13:3 | 14:0 | 15:0
227 => 1-2-3-4-5-6-7-8-9-10-11-12-17-22-25 | 5:4 | 6:29 | 7:273 | 8:724 | 9:952 | 10:668 | 11:265 | 12:54 | 13:5 | 14:0 | 15:0
228 => 1-2-3-4-5-6-7-8-9-10-11-12-17-23-24 | 5:2 | 6:41 | 7:287 | 8:712 | 9:953 | 10:649 | 11:273 | 12:53 | 13:4 | 14:0 | 15:0
229 => 1-2-3-4-5-6-7-8-9-10-11-12-17-23-25 | 5:1 | 6:43 | 7:282 | 8:724 | 9:933 | 10:657 | 11:273 | 12:55 | 13:6 | 14:0 | 15:0
230 => 1-2-3-4-5-6-7-8-9-10-11-12-17-24-25 | 5:3 | 6:44 | 7:259 | 8:704 | 9:940 | 10:700 | 11:269 | 12:51 | 13:4 | 14:0 | 15:0
231 => 1-2-3-4-5-6-7-8-9-10-11-12-18-19-20 | 5:1 | 6:40 | 7:270 | 8:689 | 9:928 | 10:725 | 11:273 | 12:42 | 13:6 | 14:0 | 15:0
232 => 1-2-3-4-5-6-7-8-9-10-11-12-18-19-21 | 5:1 | 6:43 | 7:273 | 8:692 | 9:982 | 10:675 | 11:270 | 12:33 | 13:5 | 14:0 | 15:0
233 => 1-2-3-4-5-6-7-8-9-10-11-12-18-19-22 | 5:2 | 6:40 | 7:261 | 8:713 | 9:987 | 10:665 | 11:257 | 12:39 | 13:10 | 14:0 | 15:0
234 => 1-2-3-4-5-6-7-8-9-10-11-12-18-19-23 | 5:2 | 6:46 | 7:268 | 8:732 | 9:936 | 10:691 | 11:240 | 12:56 | 13:3 | 14:0 | 15:0
235 => 1-2-3-4-5-6-7-8-9-10-11-12-18-19-24 | 5:2 | 6:51 | 7:240 | 8:710 | 9:972 | 10:688 | 11:266 | 12:42 | 13:3 | 14:0 | 15:0
236 => 1-2-3-4-5-6-7-8-9-10-11-12-18-19-25 | 5:2 | 6:47 | 7:257 | 8:701 | 9:948 | 10:707 | 11:257 | 12:52 | 13:3 | 14:0 | 15:0
237 => 1-2-3-4-5-6-7-8-9-10-11-12-18-20-21 | 5:1 | 6:44 | 7:252 | 8:691 | 9:965 | 10:703 | 11:266 | 12:48 | 13:4 | 14:0 | 15:0
238 => 1-2-3-4-5-6-7-8-9-10-11-12-18-20-22 | 5:3 | 6:43 | 7:223 | 8:752 | 9:931 | 10:694 | 11:270 | 12:53 | 13:5 | 14:0 | 15:0
239 => 1-2-3-4-5-6-7-8-9-10-11-12-18-20-23 | 5:1 | 6:42 | 7:261 | 8:735 | 9:902 | 10:708 | 11:261 | 12:61 | 13:3 | 14:0 | 15:0
240 => 1-2-3-4-5-6-7-8-9-10-11-12-18-20-24 | 5:2 | 6:37 | 7:250 | 8:701 | 9:944 | 10:713 | 11:270 | 12:53 | 13:4 | 14:0 | 15:0
241 => 1-2-3-4-5-6-7-8-9-10-11-12-18-20-25 | 5:1 | 6:39 | 7:268 | 8:665 | 9:959 | 10:694 | 11:292 | 12:54 | 13:2 | 14:0 | 15:0
242 => 1-2-3-4-5-6-7-8-9-10-11-12-18-21-22 | 5:2 | 6:45 | 7:241 | 8:745 | 9:968 | 10:668 | 11:249 | 12:52 | 13:3 | 14:1 | 15:0
243 => 1-2-3-4-5-6-7-8-9-10-11-12-18-21-23 | 5:1 | 6:41 | 7:284 | 8:697 | 9:972 | 10:683 | 11:247 | 12:48 | 13:1 | 14:0 | 15:0
244 => 1-2-3-4-5-6-7-8-9-10-11-12-18-21-24 | 5:2 | 6:43 | 7:254 | 8:703 | 9:979 | 10:684 | 11:262 | 12:45 | 13:2 | 14:0 | 15:0
245 => 1-2-3-4-5-6-7-8-9-10-11-12-18-21-25 | 5:1 | 6:38 | 7:269 | 8:695 | 9:958 | 10:711 | 11:247 | 12:53 | 13:2 | 14:0 | 15:0
246 => 1-2-3-4-5-6-7-8-9-10-11-12-18-22-23 | 5:2 | 6:42 | 7:281 | 8:709 | 9:956 | 10:682 | 11:244 | 12:54 | 13:4 | 14:0 | 15:0
247 => 1-2-3-4-5-6-7-8-9-10-11-12-18-22-24 | 5:3 | 6:37 | 7:269 | 8:705 | 9:966 | 10:663 | 11:281 | 12:46 | 13:4 | 14:0 | 15:0
248 => 1-2-3-4-5-6-7-8-9-10-11-12-18-22-25 | 5:2 | 6:43 | 7:247 | 8:723 | 9:969 | 10:662 | 11:267 | 12:55 | 13:6 | 14:0 | 15:0
249 => 1-2-3-4-5-6-7-8-9-10-11-12-18-23-24 | 5:1 | 6:39 | 7:282 | 8:712 | 9:946 | 10:671 | 11:270 | 12:49 | 13:4 | 14:0 | 15:0
250 => 1-2-3-4-5-6-7-8-9-10-11-12-18-23-25 | 5:3 | 6:40 | 7:289 | 8:666 | 9:997 | 10:647 | 11:276 | 12:52 | 13:4 | 14:0 | 15:0
251 => 1-2-3-4-5-6-7-8-9-10-11-12-18-24-25 | 5:2 | 6:44 | 7:259 | 8:681 | 9:978 | 10:667 | 11:295 | 12:45 | 13:3 | 14:0 | 15:0
252 => 1-2-3-4-5-6-7-8-9-10-11-12-19-20-21 | 5:0 | 6:44 | 7:267 | 8:674 | 9:955 | 10:736 | 11:240 | 12:54 | 13:4 | 14:0 | 15:0
253 => 1-2-3-4-5-6-7-8-9-10-11-12-19-20-22 | 5:3 | 6:34 | 7:249 | 8:703 | 9:987 | 10:681 | 11:259 | 12:52 | 13:6 | 14:0 | 15:0
254 => 1-2-3-4-5-6-7-8-9-10-11-12-19-20-23 | 5:2 | 6:44 | 7:251 | 8:742 | 9:928 | 10:667 | 11:283 | 12:49 | 13:8 | 14:0 | 15:0
255 => 1-2-3-4-5-6-7-8-9-10-11-12-19-20-24 | 5:2 | 6:44 | 7:249 | 8:663 | 9:988 | 10:722 | 11:247 | 12:53 | 13:6 | 14:0 | 15:0
256 => 1-2-3-4-5-6-7-8-9-10-11-12-19-20-25 | 5:1 | 6:51 | 7:236 | 8:693 | 9:953 | 10:704 | 11:279 | 12:52 | 13:5 | 14:0 | 15:0
257 => 1-2-3-4-5-6-7-8-9-10-11-12-19-21-22 | 5:4 | 6:33 | 7:261 | 8:721 | 9:1002 | 10:651 | 11:246 | 12:50 | 13:6 | 14:0 | 15:0
258 => 1-2-3-4-5-6-7-8-9-10-11-12-19-21-23 | 5:1 | 6:43 | 7:266 | 8:741 | 9:962 | 10:650 | 11:255 | 12:55 | 13:1 | 14:0 | 15:0
259 => 1-2-3-4-5-6-7-8-9-10-11-12-19-21-24 | 5:1 | 6:51 | 7:247 | 8:701 | 9:973 | 10:710 | 11:241 | 12:47 | 13:3 | 14:0 | 15:0
260 => 1-2-3-4-5-6-7-8-9-10-11-12-19-21-25 | 5:2 | 6:45 | 7:246 | 8:718 | 9:969 | 10:681 | 11:260 | 12:49 | 13:4 | 14:0 | 15:0
261 => 1-2-3-4-5-6-7-8-9-10-11-12-19-22-23 | 5:3 | 6:37 | 7:262 | 8:759 | 9:949 | 10:656 | 11:244 | 12:61 | 13:3 | 14:0 | 15:0
262 => 1-2-3-4-5-6-7-8-9-10-11-12-19-22-24 | 5:3 | 6:44 | 7:249 | 8:699 | 9:1007 | 10:655 | 11:265 | 12:49 | 13:3 | 14:0 | 15:0
263 => 1-2-3-4-5-6-7-8-9-10-11-12-19-22-25 | 5:5 | 6:36 | 7:232 | 8:765 | 9:950 | 10:656 | 11:273 | 12:52 | 13:5 | 14:0 | 15:0
264 => 1-2-3-4-5-6-7-8-9-10-11-12-19-23-24 | 5:4 | 6:47 | 7:246 | 8:743 | 9:957 | 10:658 | 11:262 | 12:51 | 13:6 | 14:0 | 15:0
265 => 1-2-3-4-5-6-7-8-9-10-11-12-19-23-25 | 5:6 | 6:40 | 7:260 | 8:730 | 9:956 | 10:657 | 11:257 | 12:64 | 13:4 | 14:0 | 15:0
266 => 1-2-3-4-5-6-7-8-9-10-11-12-19-24-25 | 5:4 | 6:57 | 7:222 | 8:702 | 9:985 | 10:673 | 11:280 | 12:49 | 13:2 | 14:0 | 15:0
267 => 1-2-3-4-5-6-7-8-9-10-11-12-20-21-22 | 5:3 | 6:35 | 7:249 | 8:707 | 9:978 | 10:678 | 11:272 | 12:48 | 13:4 | 14:0 | 15:0
268 => 1-2-3-4-5-6-7-8-9-10-11-12-20-21-23 | 5:0 | 6:38 | 7:271 | 8:712 | 9:939 | 10:698 | 11:260 | 12:50 | 13:6 | 14:0 | 15:0
269 => 1-2-3-4-5-6-7-8-9-10-11-12-20-21-24 | 5:3 | 6:39 | 7:243 | 8:690 | 9:973 | 10:711 | 11:263 | 12:46 | 13:6 | 14:0 | 15:0
270 => 1-2-3-4-5-6-7-8-9-10-11-12-20-21-25 | 5:1 | 6:43 | 7:243 | 8:690 | 9:957 | 10:719 | 11:266 | 12:50 | 13:5 | 14:0 | 15:0
271 => 1-2-3-4-5-6-7-8-9-10-11-12-20-22-23 | 5:3 | 6:37 | 7:251 | 8:730 | 9:970 | 10:642 | 11:279 | 12:59 | 13:3 | 14:0 | 15:0
272 => 1-2-3-4-5-6-7-8-9-10-11-12-20-22-24 | 5:4 | 6:38 | 7:229 | 8:716 | 9:971 | 10:692 | 11:258 | 12:64 | 13:2 | 14:0 | 15:0
273 => 1-2-3-4-5-6-7-8-9-10-11-12-20-22-25 | 5:3 | 6:35 | 7:239 | 8:709 | 9:970 | 10:676 | 11:279 | 12:60 | 13:3 | 14:0 | 15:0
274 => 1-2-3-4-5-6-7-8-9-10-11-12-20-23-24 | 5:2 | 6:36 | 7:267 | 8:686 | 9:989 | 10:661 | 11:268 | 12:54 | 13:10 | 14:1 | 15:0
275 => 1-2-3-4-5-6-7-8-9-10-11-12-20-23-25 | 5:2 | 6:42 | 7:252 | 8:716 | 9:935 | 10:693 | 11:264 | 12:62 | 13:7 | 14:1 | 15:0
276 => 1-2-3-4-5-6-7-8-9-10-11-12-20-24-25 | 5:2 | 6:44 | 7:238 | 8:675 | 9:973 | 10:702 | 11:279 | 12:58 | 13:2 | 14:1 | 15:0
277 => 1-2-3-4-5-6-7-8-9-10-11-12-21-22-23 | 5:3 | 6:34 | 7:260 | 8:773 | 9:943 | 10:636 | 11:277 | 12:46 | 13:2 | 14:0 | 15:0
278 => 1-2-3-4-5-6-7-8-9-10-11-12-21-22-24 | 5:4 | 6:31 | 7:266 | 8:718 | 9:985 | 10:632 | 11:292 | 12:42 | 13:4 | 14:0 | 15:0
279 => 1-2-3-4-5-6-7-8-9-10-11-12-21-22-25 | 5:3 | 6:32 | 7:245 | 8:766 | 9:923 | 10:695 | 11:246 | 12:62 | 13:2 | 14:0 | 15:0
